Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Travel on a plane?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Have any alcoholic drinks?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Felt nervous or anxious,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,See artificial light upon waking up?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Experience bloating?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Have any caffeine? ,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Felt you had control over your life,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Experiencing COVID-19 symptoms,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Take creatine?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Viewed a screen device in bed,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Feel energized throughout the day?,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Experiencing a fever,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Hydrated sufficiently,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,See direct sunlight upon waking up?,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Spend time outdoors?,true,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Read (non-screened device) while in bed?,false,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,Felt recovered,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Travel on a plane?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Have any alcoholic drinks?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Felt nervous or anxious,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,See artificial light upon waking up?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Experience bloating?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Have any caffeine? ,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Felt you had control over your life,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Experiencing COVID-19 symptoms,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Take creatine?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Viewed a screen device in bed,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Feel energized throughout the day?,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Experiencing a fever,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Hydrated sufficiently,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,See direct sunlight upon waking up?,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Spend time outdoors?,true,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Read (non-screened device) while in bed?,false,
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,Felt recovered,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Travel on a plane?,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Have any alcoholic drinks?,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Felt nervous or anxious,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,See artificial light upon waking up?,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Experience bloating?,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Have any caffeine? ,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Felt you had control over your life,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Experiencing COVID-19 symptoms,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Take creatine?,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Viewed a screen device in bed,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Feel energized throughout the day?,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Experiencing a fever,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Hydrated sufficiently,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,See direct sunlight upon waking up?,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Spend time outdoors?,true,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Read (non-screened device) while in bed?,false,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,Felt recovered,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Travel on a plane?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Have any alcoholic drinks?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Felt nervous or anxious,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,See artificial light upon waking up?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Experience bloating?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Have any caffeine? ,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Felt you had control over your life,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Experiencing COVID-19 symptoms,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Take creatine?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Viewed a screen device in bed,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Feel energized throughout the day?,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Experiencing a fever,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Hydrated sufficiently,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,See direct sunlight upon waking up?,true,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Spend time outdoors?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Read (non-screened device) while in bed?,false,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,Felt recovered,true,
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,Travel on a plane?,true,
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,Have any alcoholic drinks?,false,
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,Felt nervous or anxious,false,
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,See artificial light upon waking up?,false,
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,Experience bloating?,false,
