Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
2023-05-30 23:32:36,,UTC+01:00,2023-05-30 23:32:36,2023-05-31 07:06:20,75,14.2,364,453,158,78,128,89,484,15,80,false
2023-05-26 23:41:34,2023-05-27 23:41:34,UTC+01:00,2023-05-26 23:41:34,2023-05-27 09:40:57,95,14.1,525,597,298,123,104,72,553,54,88,false
2023-05-25 23:05:28,2023-05-26 23:41:34,UTC+01:00,2023-05-25 23:05:28,2023-05-26 07:56:36,82,14.1,455,531,299,74,82,76,554,70,85,false
2023-05-24 23:35:31,2023-05-25 23:05:28,UTC+01:00,2023-05-24 23:35:31,2023-05-25 06:59:39,70,14.3,378,444,200,82,96,66,542,65,85,false
2023-05-23 23:25:15,2023-05-24 23:35:31,UTC+01:00,2023-05-23 23:25:15,2023-05-24 06:58:59,72,14.2,374,454,147,89,138,80,519,42,82,false
2023-05-21 00:11:28,2023-05-23 00:00:00,UTC+01:00,2023-05-21 00:11:28,2023-05-21 09:04:23,86,14.7,459,532,293,57,109,73,533,54,87,false
2023-05-20 00:12:24,2023-05-21 00:11:28,UTC+01:00,2023-05-20 00:12:24,2023-05-20 08:27:29,82,14.2,400,495,240,73,87,95,491,15,80,false
2023-05-18 22:42:34,2023-05-20 00:12:24,UTC+01:00,2023-05-18 22:42:34,2023-05-19 07:32:44,95,14.6,464,530,289,101,74,66,491,0,87,false
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,2023-05-17 22:50:54,2023-05-18 06:53:28,100,14.3,429,482,239,71,119,53,425,210,89,false
2023-05-16 22:07:57,2023-05-17 22:50:54,UTC+01:00,2023-05-17 01:58:11,2023-05-17 06:58:36,39,14.4,265,300,177,44,44,35,677,210,88,true
2023-05-16 22:07:57,2023-05-17 22:50:54,UTC+01:00,2023-05-16 22:07:57,2023-05-16 23:18:37,10,15.6,55,70,49,0,6,15,551,78,100,false
2023-05-15 23:45:12,2023-05-16 22:07:57,UTC+01:00,2023-05-15 23:45:12,2023-05-16 06:59:14,74,14.1,375,430,249,73,53,55,505,36,87,false
2023-05-14 21:40:12,2023-05-15 23:45:12,UTC+01:00,2023-05-14 21:40:12,2023-05-15 08:09:44,88,15.7,544,629,376,89,79,85,621,133,88,false
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,2023-05-14 04:42:47,2023-05-14 09:40:47,43,15.7,258,298,171,43,44,40,604,93,86,false
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,2023-05-13 01:42:44,2023-05-13 07:22:05,60,14.1,320,339,223,62,35,19,536,54,94,false
2023-05-11 22:56:43,2023-05-13 01:42:44,UTC+01:00,2023-05-11 22:56:43,2023-05-12 06:59:20,82,14.6,440,482,306,85,49,42,539,72,91,false
2023-05-09 22:14:06,2023-05-11 00:00:00,UTC+01:00,2023-05-09 22:14:06,2023-05-10 06:59:56,76,14.7,428,525,303,70,55,97,565,72,81,false
2023-05-09 01:05:35,2023-05-09 22:14:06,UTC+01:00,2023-05-09 01:05:35,2023-05-09 08:06:39,69,14.7,346,421,240,46,60,75,500,15,82,false
2023-05-08 00:05:10,2023-05-09 01:05:35,UTC+01:00,2023-05-08 00:05:10,2023-05-08 11:14:50,95,15.1,509,669,390,63,56,160,537,63,78,false
2023-05-06 23:41:45,2023-05-08 00:05:10,UTC+01:00,2023-05-06 23:41:45,2023-05-07 09:07:14,79,16.4,413,565,296,64,53,152,521,170,73,false
2023-05-06 00:13:00,2023-05-06 23:41:45,UTC+01:00,2023-05-06 06:18:47,2023-05-06 09:18:04,25,15.9,121,177,81,23,17,56,485,18,68,true
2023-05-06 00:13:00,2023-05-06 23:41:45,UTC+01:00,2023-05-06 00:13:00,2023-05-06 03:21:00,27,15.9,129,188,64,30,35,59,487,18,68,false
2023-05-03 21:14:26,2023-05-05 00:00:00,UTC+01:00,2023-05-03 21:14:26,2023-05-04 08:05:19,94,14.9,540,650,449,44,47,110,574,93,82,false
2023-05-03 00:44:00,2023-05-03 21:14:26,UTC+01:00,2023-05-03 00:44:00,2023-05-03 07:01:00,60,18.0,272,377,199,9,64,105,452,95,72,false
2023-05-02 00:42:29,2023-05-03 00:44:00,UTC+01:00,2023-05-02 22:08:15,2023-05-03 00:12:15,20,18.2,115,124,85,8,22,9,567,95,92,true
2023-05-02 00:42:29,2023-05-03 00:44:00,UTC+01:00,2023-05-02 00:42:29,2023-05-02 07:07:29,59,14.2,311,382,123,56,132,71,532,51,81,false
2023-05-01 00:24:50,2023-05-02 00:42:29,UTC+01:00,2023-05-01 00:24:50,2023-05-01 09:37:06,83,14.6,480,552,228,99,153,72,576,107,86,false
2023-04-30 03:45:52,2023-05-01 00:24:50,UTC+01:00,2023-04-30 03:45:52,2023-04-30 09:36:16,54,16.5,314,348,176,81,57,34,587,93,90,false
2023-04-29 01:09:28,2023-04-30 03:45:52,UTC+01:00,2023-04-29 01:09:28,2023-04-29 07:31:35,60,15.3,338,382,198,50,90,44,560,69,88,false
2023-04-27 22:53:50,2023-04-29 01:09:28,UTC+01:00,2023-04-27 22:53:50,2023-04-28 06:43:26,77,14.4,421,469,220,78,123,48,545,75,89,false
2023-04-26 23:18:06,2023-04-27 22:53:50,UTC+01:00,2023-04-26 23:18:06,2023-04-27 07:50:00,75,14.3,422,508,222,75,125,86,563,90,84,false
2023-04-26 00:19:36,2023-04-26 23:18:06,UTC+01:00,2023-04-26 00:19:36,2023-04-26 08:19:46,70,14.2,388,480,194,76,118,92,556,81,80,false
2023-04-24 22:14:21,2023-04-26 00:19:36,UTC+01:00,2023-04-24 22:14:21,2023-04-25 07:01:38,73,14.7,446,522,187,99,160,76,607,95,87,false
2023-04-24 00:27:15,2023-04-24 22:14:21,UTC+01:00,2023-04-24 00:27:15,2023-04-24 06:59:57,59,14.6,345,393,136,84,125,48,581,109,87,false
2023-04-23 04:14:05,2023-04-24 00:27:15,UTC+01:00,2023-04-23 04:14:05,2023-04-23 10:04:00,53,15.5,315,349,229,62,24,34,599,63,92,false
2023-04-22 01:58:46,2023-04-23 04:14:05,UTC+01:00,2023-04-22 01:58:46,2023-04-22 08:49:43,73,14.8,363,408,237,82,44,45,501,24,89,false
2023-04-20 21:44:53,2023-04-22 01:58:46,UTC+01:00,2023-04-20 21:44:53,2023-04-21 07:58:12,92,14.1,506,611,255,107,144,105,551,81,83,false
2023-04-19 23:08:58,2023-04-20 21:44:53,UTC+01:00,2023-04-19 23:08:58,2023-04-20 07:34:37,73,14.1,418,505,184,93,141,87,573,98,82,false
2023-04-18 23:30:51,2023-04-19 23:08:58,UTC+01:00,2023-04-18 23:30:51,2023-04-19 06:40:05,58,14.2,354,429,180,69,105,75,614,100,82,false
2023-04-18 00:28:33,2023-04-18 23:30:51,UTC+01:00,2023-04-18 00:28:33,2023-04-18 06:57:53,57,14.1,317,389,134,83,100,72,552,69,81,false
2023-04-16 22:06:39,2023-04-18 00:28:33,UTC+01:00,2023-04-16 22:06:39,2023-04-17 06:10:40,77,14.2,412,484,187,97,128,72,537,48,85,false
2023-04-16 00:32:49,2023-04-16 22:06:39,UTC+01:00,2023-04-16 00:32:49,2023-04-16 10:34:35,84,14.5,483,601,325,91,67,118,576,84,80,false
2023-04-15 02:47:47,2023-04-16 00:32:49,UTC+01:00,2023-04-15 02:47:47,2023-04-15 10:03:16,72,14.5,366,418,162,77,127,52,507,39,87,false
2023-04-05 22:06:41,2023-04-06 22:06:41,UTC+01:00,2023-04-05 22:06:41,2023-04-06 08:26:43,87,15.5,559,620,258,108,193,61,644,170,90,false
2023-04-04 23:57:41,2023-04-05 22:06:41,UTC+01:00,2023-04-04 23:57:41,2023-04-05 02:51:12,27,13.8,156,173,90,32,34,17,576,86,89,false
2023-04-04 00:36:43,2023-04-04 23:57:41,UTC+01:00,2023-04-04 00:36:43,2023-04-04 06:59:50,63,14.1,344,383,144,75,125,39,548,72,89,false
2023-04-02 23:20:29,2023-04-04 00:36:43,UTC+01:00,2023-04-02 23:20:29,2023-04-03 06:59:59,69,14.4,356,459,181,58,117,103,514,33,77,false
2023-04-02 01:06:33,2023-04-02 23:20:29,UTC+01:00,2023-04-02 01:06:33,2023-04-02 09:37:01,89,14.2,454,510,238,102,114,56,513,27,88,false
2023-03-31 23:42:57,2023-04-02 01:06:33,UTC+01:00,2023-03-31 23:42:57,2023-04-01 08:25:54,91,13.8,440,516,176,112,152,76,484,15,85,false
2023-03-30 21:20:10,2023-03-31 23:42:57,UTC+01:00,2023-03-30 21:20:10,2023-03-31 07:42:08,95,14.2,550,621,292,108,150,71,579,107,88,false
2023-03-30 02:58:23,2023-03-30 21:20:10,UTC+01:00,2023-03-30 02:58:23,2023-03-30 07:54:28,54,15.1,274,293,192,28,54,19,512,39,96,false
2023-03-28 23:20:49,2023-03-30 02:58:23,UTC+01:00,2023-03-28 23:20:49,2023-03-29 08:14:49,87,14.2,479,532,247,85,147,53,553,72,90,false
2023-03-27 23:19:34,2023-03-28 23:20:49,UTC+01:00,2023-03-27 23:19:34,2023-03-28 07:00:02,76,14.4,403,460,191,55,157,57,530,60,87,false
2023-03-26 22:37:07,2023-03-27 23:19:34,UTC+01:00,2023-03-26 22:37:07,2023-03-27 06:59:53,74,14.6,401,502,264,39,98,101,542,42,81,false
2023-03-26 00:13:29,2023-03-26 21:37:07,UTCZ,2023-03-26 00:13:29,2023-03-26 09:06:03,86,14.9,455,533,261,63,131,78,529,54,85,false
2023-03-25 00:34:22,2023-03-26 00:13:29,UTCZ,2023-03-25 00:34:22,2023-03-25 09:50:58,82,14.9,478,552,223,97,158,74,582,91,86,false
2023-03-24 00:39:42,2023-03-25 00:34:22,UTCZ,2023-03-24 00:39:42,2023-03-24 06:57:58,61,14.2,324,378,138,62,124,54,535,66,88,false
2023-03-23 00:19:45,2023-03-24 00:39:42,UTCZ,2023-03-23 00:19:45,2023-03-23 08:14:38,78,14.1,425,474,240,58,127,49,547,72,89,false
2023-03-21 23:02:34,2023-03-23 00:19:45,UTCZ,2023-03-21 23:02:34,2023-03-22 06:59:51,76,13.8,416,477,253,59,104,61,550,77,87,false
2023-03-20 22:46:56,2023-03-21 23:02:34,UTCZ,2023-03-20 22:46:56,2023-03-21 06:53:50,67,14.5,417,481,213,90,114,64,618,93,86,false
2023-03-20 00:27:36,2023-03-20 22:46:56,UTCZ,2023-03-20 00:27:36,2023-03-20 07:00:54,60,14.2,327,393,192,60,75,66,543,27,83,false
2023-03-18 23:48:49,2023-03-20 00:27:36,UTCZ,2023-03-18 23:48:49,2023-03-19 09:52:31,91,15.0,518,603,318,84,116,85,568,98,85,false
2023-03-18 02:30:07,2023-03-18 23:48:49,UTCZ,2023-03-18 02:30:07,2023-03-18 08:40:14,58,15.6,326,367,167,81,78,41,567,60,88,false
2023-03-16 22:56:53,2023-03-18 02:30:07,UTCZ,2023-03-16 22:56:53,2023-03-17 07:56:41,80,14.5,465,540,228,90,147,75,581,60,86,false
2023-03-15 23:35:31,2023-03-16 22:56:53,UTCZ,2023-03-15 23:35:31,2023-03-16 06:49:33,74,14.0,388,434,215,75,98,46,527,57,89,false
2023-03-14 22:22:11,2023-03-15 23:35:31,UTCZ,2023-03-14 22:22:11,2023-03-15 07:40:13,81,14.3,473,558,260,94,119,85,585,109,85,false
2023-03-14 01:19:17,2023-03-14 22:22:11,UTCZ,2023-03-14 01:19:17,2023-03-14 06:59:35,53,13.7,301,340,175,44,82,39,568,93,88,false
2023-03-13 00:42:31,2023-03-14 01:19:17,UTCZ,2023-03-13 00:42:31,2023-03-13 06:59:21,60,14.1,315,376,201,39,75,61,526,56,85,false
2023-03-12 01:59:52,2023-03-13 00:42:31,UTCZ,2023-03-12 01:59:52,2023-03-12 09:31:41,76,14.6,381,451,223,59,99,70,498,15,84,false
2023-03-10 23:07:52,2023-03-12 01:59:52,UTCZ,2023-03-10 23:07:52,2023-03-11 08:28:48,95,14.3,498,560,264,97,137,62,524,45,88,false
2023-03-09 22:34:56,2023-03-10 23:07:52,UTCZ,2023-03-09 22:34:56,2023-03-10 06:59:37,85,14.2,426,504,225,74,127,78,499,30,84,false
2023-03-08 22:15:29,2023-03-09 22:34:56,UTCZ,2023-03-08 22:15:29,2023-03-09 07:30:09,90,14.5,488,555,247,96,145,67,545,67,89,false
2023-03-07 23:48:48,2023-03-08 22:15:29,UTCZ,2023-03-07 23:48:48,2023-03-08 06:59:57,71,13.8,378,431,233,74,71,53,532,56,87,false
2023-03-06 23:19:12,2023-03-07 23:48:48,UTCZ,2023-03-06 23:19:12,2023-03-07 06:59:40,76,14.0,402,460,214,82,106,58,526,54,87,false
2023-03-05 21:33:25,2023-03-06 23:19:12,UTCZ,2023-03-05 21:33:25,2023-03-06 07:36:38,82,15.1,501,603,314,96,91,102,611,70,83,false
2023-03-05 00:22:35,2023-03-05 21:33:25,UTCZ,2023-03-05 00:22:35,2023-03-05 06:37:30,70,13.8,341,374,208,74,59,33,485,15,91,false
2023-03-04 00:26:48,2023-03-05 00:22:35,UTCZ,2023-03-04 00:26:48,2023-03-04 10:32:54,95,15.5,521,603,213,120,188,82,547,75,86,false
2023-03-03 00:27:37,2023-03-04 00:26:48,UTCZ,2023-03-03 00:27:37,2023-03-03 08:38:51,75,14.0,418,491,217,84,117,73,559,78,85,false
2023-03-01 22:24:20,2023-03-03 00:27:37,UTCZ,2023-03-01 22:24:20,2023-03-02 06:59:36,74,14.4,442,515,216,95,131,73,593,78,86,false
2023-02-28 23:37:14,2023-03-01 22:24:20,UTCZ,2023-02-28 23:37:14,2023-03-01 06:59:55,74,14.2,394,442,193,66,135,48,530,42,89,false
2023-02-27 22:19:55,2023-02-28 23:37:14,UTCZ,2023-02-27 22:19:55,2023-02-28 07:00:57,86,14.5,463,520,227,106,130,57,537,27,89,false
2023-02-26 21:56:22,2023-02-27 22:19:55,UTCZ,2023-02-26 21:56:22,2023-02-27 08:15:54,91,14.2,545,618,295,101,149,73,601,128,88,false
2023-02-26 03:59:49,2023-02-26 21:56:22,UTCZ,2023-02-26 03:59:49,2023-02-26 08:51:05,45,16.2,250,291,153,51,46,41,551,77,85,false
2023-02-25 03:01:39,2023-02-26 03:59:49,UTCZ,2023-02-25 03:01:39,2023-02-25 09:50:13,67,15.6,377,408,138,88,151,31,567,78,93,false
2023-02-23 23:04:57,2023-02-25 03:01:39,UTCZ,2023-02-23 23:04:57,2023-02-24 06:59:50,74,14.4,412,475,193,96,123,63,556,78,86,false
2023-02-22 23:36:34,2023-02-23 23:04:57,UTCZ,2023-02-22 23:36:34,2023-02-23 06:50:07,74,14.2,377,434,197,93,87,57,511,42,87,false
2023-02-21 22:51:28,2023-02-22 23:36:34,UTCZ,2023-02-21 22:51:28,2023-02-22 07:58:27,86,14.6,476,545,201,92,183,69,553,74,87,false
2023-02-20 23:16:05,2023-02-21 22:51:28,UTCZ,2023-02-20 23:16:05,2023-02-21 06:59:26,68,14.4,409,461,249,66,94,52,599,77,88,false
2023-02-19 23:46:57,2023-02-20 23:16:05,UTCZ,2023-02-19 23:46:57,2023-02-20 06:59:04,67,14.9,377,432,221,89,67,55,566,86,87,false
2023-02-19 00:04:08,2023-02-19 23:46:57,UTCZ,2023-02-19 00:04:08,2023-02-19 07:34:30,63,16.1,375,450,225,77,73,75,600,60,83,false
2023-02-18 00:17:44,2023-02-19 00:04:08,UTCZ,2023-02-18 00:17:44,2023-02-18 09:59:48,80,14.7,460,582,274,75,111,122,576,105,79,false
2023-02-17 01:53:19,2023-02-18 00:17:44,UTCZ,2023-02-17 01:53:19,2023-02-17 07:47:04,55,14.7,311,353,164,65,82,42,568,93,88,false
2023-02-16 01:46:52,2023-02-17 01:53:19,UTCZ,2023-02-16 01:46:52,2023-02-16 08:03:13,60,14.4,338,376,156,74,108,38,561,88,89,false
2023-02-15 00:02:16,2023-02-16 01:46:52,UTCZ,2023-02-15 00:02:16,2023-02-15 06:55:09,62,14.4,352,409,214,66,72,57,566,51,86,false
2023-02-13 22:30:55,2023-02-15 00:02:16,UTCZ,2023-02-13 22:30:55,2023-02-14 08:04:49,83,14.4,484,574,251,99,134,90,581,95,84,false
2023-02-13 02:09:28,2023-02-13 22:30:55,UTCZ,2023-02-13 02:09:28,2023-02-13 08:21:58,59,14.6,293,370,152,64,77,77,497,27,79,false
